030232,"Tunas, Yellowfin - Fresh Or Chilled (Excl Fish Fillets)"
030233,Skipjack Or Stripe-Bellied Bonito - Fresh Or Chilled (Excl Fish Fillets)
030234,Bigeye Tunas - Fresh Or Chilled (Excl Fish Fillets)
030235,Atlantic And Pacific Bluefin Tunas (Fresh Or Chilled (Excl Fish Fillets)
030236,Southern Bluefin Tunas - Fresh Or Chilled (Excl Fish Fillets)
030239,Tunas Nes - Fresh Or Chilled (Excl Fish Fillets)
030241,Herrings (Fresh Or Chilled (Excl Fish Fillets)
030242,Anchovies (Fresh Or Chilled) (Excl Fish Fillets)
030243,Sardines (Fresh Or Chilled) (Excl Fish Fillets)
030244,Mackerel (Fresh Or Chilled) (Excl Fish Fillets)
030245,Jack And Horse Mackerel (Fresh Or Chilled) (Excl Fish Fillets)
030246,Cobia (Fresh Or Chilled) (Excl Fish Fillets)
030247,Swordfish (Fresh Or Chilled) (Excl Fish Fillets)
030251,Cod (Fresh Or Chilled) (Excl Fish Fillets)
030252,Haddock (Fresh Or Chilled) (Excl Fish Fillets)
030253,Coalfish (Fresh Or Chilled) (Excl Fish Fillets)
030254,Hake (Fresh Or Chilled) (Excl Fish Fillets)
030255,Alaska Pollack (Fresh Or Chilled) (Excl Fish Fillets)
030256,Blue Whitings (Fresh Or Chilled) (Excl Fish Fillets)
030259,"Other, Fish Of The Families, Excluding Livers And Roes (Fresh Or Chilled) (Excl Fish Fillets)"
030271,Tilapias (Fresh Or Chilled) (Excl Fish Fillets)
030272,Catfish (Fresh Or Chilled) (Excl Fish Fillets)
030273,Carp (Fresh Or Chilled) (Excl Fish Fillets)
030274,Eels (Fresh Or Chilled) (Excl Fish Fillets)
030279,"Other: Tilapias, Catfish, Carp, Eels, Nile Perch And Snakeheads (Except Livers And Roes)"
030281,"Other Fish, Excluding Livers And Roes: Dogfish And Other Sharks (Fresh/Chilled) (Excl Fish Fillets)"
030282,"Other Fish, Excluding Livers And Roes: Rays And Skates (Fresh/Chilled) (Excl Fish Fillets)"
030284,"Other Fish, Excluding Livers And Roes: Seabass (Fresh/Chilled) (Excl Fish Fillets)"
030285,"Other Fish, Excluding Livers And Roes: Seabream (Fresh/Chilled) (Excl Fish Fillets)"
030289,"Other: Other Fish, Excluding Livers And Roes"
030290,Livers And Roes (Fresh/Chilled Fish) (Excl Fish Fillets)
030311,"Salmonidae, Excluding Liver And Roes: Sockeye (Red) Salmon - Frozen (Excl Fish Fillets)"
030312,"Salmonidae, Excluding Liver And Roes: Other Pacific Salmon (Frozen Fish) (Excl Fish Fillets)"
030313,"Salmonidae, Excluding Liver And Roes: Atlantic Salmon And Danube Salmon (Frozen Fish) (Excl Fish Fil"
030314,"Salmonidae, Excluding Liver And Roes: Trout (Frozen Fish) (Excl Fish Fillets)"
030319,"Salmonidae, Excluding Liver And Roes: Other [Frozen Fish] (Excl Fish Fillets)"
030323,Tilapias (Frozen Fish) (Excl Fish Fillets)
030324,Catfish (Frozen Fish) (Excl Fish Fillets)
030325,Carp (Frozen Fish) (Excl Fish Fillets)
030326,Eels (Frozen Fish) (Excl Fish Fillets)
030329,"Other: Tilapias, Catfish, Carp, Eels, Nile Perch, And Snakeheads (Except Livers Or Roes)"
